isim,kategori,sebep,sehir,konum
Espresso Lab,Yemek & Kahve,,,
Bereket Döner,Yemek & Kahve,,,
Simit Sarayı,Yemek & Kahve,,,
Günaydın Restoran,Yemek & Kahve,,,
Nusr-Et,Yemek & Kahve,,,
Idefix,Kitap & Alışveriş,,,
D&R,Kitap & Alışveriş,,,
Kilim Mobilya,Kitap & Alışveriş,,,
Watsons,Kitap & Alışveriş,,,
Demirören/İstiklal AVM,AVM,,İstanbul,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d515.0855209374334!2d28.98012033953857!3d41.0349742004656!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14cab773b05b63ab%3A0xaac1e910acbf72fe!2s%C4%B0stiklal%20AVM!5e0!3m2!1str!2sus!4v1742916548566!5m2!1str!2sus
Milli Piyango,Şans Oyunu,,,
Misli.com,Şans Oyunu,,,
İddiaa,Şans Oyunu,,,
Kamil Koç,Ulaşım,,,
EtsTur,Ulaşım,,,
CNN Türk,TV & Radyo,,,
A Haber,TV & Radyo,,,
Habertürk,TV & Radyo,,,
NTV,TV & Radyo,,,
Kanal D,TV & Radyo,,,
Star TV,TV & Radyo,,,
Show TV,TV & Radyo,,,
TGRT,TV & Radyo,,,
TRT,TV & Radyo,,,
Bloomberg HT,TV & Radyo,,,
Kral TV,TV & Radyo,,,
Kral Pop TV,TV & Radyo,,,
Euro Star,TV & Radyo,,,
NTV Radyo,TV & Radyo,,,
Radyo Eksen,TV & Radyo,,,
Radyo Voyage,TV & Radyo,,,
Doğuş Otomotiv,Otomotiv,,,
Volkswagen,Otomotiv,Doğuş Oto Distribütörü,,
Audi,Otomotiv,Doğuş Oto Distribütörü,,
Porsche,Otomotiv,Doğuş Oto Distribütörü,,
Bentley,Otomotiv,Doğuş Oto Distribütörü,,
Lamborghini,Otomotiv,Doğuş Oto Distribütörü,,
SEAT,Otomotiv,Doğuş Oto Distribütörü,,
CUPRA,Otomotiv,Doğuş Oto Distribütörü,,
Škoda,Otomotiv,Doğuş Oto Distribütörü,,
Scania,Otomotiv,Doğuş Oto Distribütörü,,
